Candidate_ID,Gender,Occupation,Female_Representation,Experience,Test_Score,Interview_Score,Bias_Term,Hiring_Probability,Hired
1,Female,2132 IT managers,0.247,5.745071229516849,32.12551734139125,1.7150982298024275,-0.753,0.1320497674722273,0
2,Male,2139 Information technology professionals n.e.c.,0.20199999999999999,4.792603548243223,10.301919444220609,3.468022197880037,0.0,0.15287620337098187,0
3,Male,2134 Programmers and software development professionals,0.158,5.971532807151039,7.180754544546919,9.701017643315614,0.0,0.34635091910623306,0
4,Female,2134 Programmers and software development professionals,0.158,7.284544784612038,9.427597789893605,7.807878459797925,-0.842,0.19293025478488782,0
5,Female,2131 IT project managers,0.34299999999999997,4.648769937914996,58.28693611920428,2.8259083253753237,-0.657,0.2583136922714091,0
6,Male,2131 IT project managers,0.34299999999999997,4.648794564576229,5.166217582898969,5.63941769644487,0.0,0.17231022859886191,0
7,Female,1137 Information technology directors,0.172,7.368819223261087,33.69268749640384,4.043261228494788,-0.8280000000000001,0.22496447848383921,0
8,Female,2136 IT quality and testing professionals,0.35600000000000004,6.151152093729364,75.31997019142294,4.899651763271299,-0.6439999999999999,0.5201833487919709,0
9,Male,2134 Programmers and software development professionals,0.158,4.295788421097572,29.43481665153781,3.551661913907085,0.0,0.22704922372810935,0
10,Female,2134 Programmers and software development professionals,0.158,5.8138400653789475,76.33080771801298,2.793310185303406,-0.842,0.38454258285840925,0
11,Female,1137 Information technology directors,0.172,4.304873460781307,74.54670382070553,6.747630413914187,-0.8280000000000001,0.44559632604599153,1
12,Male,2139 Information technology professionals n.e.c.,0.20199999999999999,4.301405369644614,24.582713263321633,7.785418150861175,0.0,0.32422448634324896,0
13,Male,2135 Cyber security professionals,0.177,5.362943407349051,72.88221800927455,8.739571227473448,0.0,0.7445951863713888,1
14,Female,2132 IT managers,0.247,2.1300796330133034,74.77766382721008,1.5532996731818804,-0.753,0.20576262032134215,1
15,Female,2131 IT project managers,0.34299999999999997,2.4126232512304506,39.745392566702684,8.228555236452406,-0.657,0.22307595244765882,0
16,Female,2131 IT project managers,0.34299999999999997,4.1565687061385415,21.042048374151822,2.548008244770635,-0.657,0.09011565715535645,0
17,Male,2132 IT managers,0.247,3.480753319498364,52.12708068918691,4.273363899100506,0.0,0.35456511248318917,1
